Latitude;Longitude;Num Ligne;rang;Type;Nom_Station;trafic_2018;trafic_2019;trafic_2020;correspondance_1;correspondance_2;correspondance_3;correspondance_4;correspondance_5;ville;arrondissement_pour_paris;;annee;traffic total
48.8718487938;2.37659368274;"2; 11";12;Metro;BELLEVILLE;11755857;10735544;5680933;2;11;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;10;;;
48.8454707076;2.42920516635;1;114;Metro;BERAULT;3182589;3656859;2112213;1;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Vincennes;;;;
48.8390812802;2.38302808115;"6;14";51;Metro;BERCY;6700350;6311543;3189247;6;14;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8298750437;2.37669589214;"RER C; 14";6;Metro;BIBLIOTHEQUE;18770034;19754334;10002396;14;RER C;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;13;;;
48.8321105601;2.23863934858;9;173;Metro;BILLANCOURT;3348058;3099341;1525990;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Boulogne Billancourt;;;;
48.8539426071;2.28933453277;6;70;Metro;BIR-HAKEIM;8772981;6903648;2644407;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8839585735;2.33192659089;2;152;Metro;BLANCHE;4120807;3893362;1680852;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;9;;;
48.9063747703;2.44918990449;"5; T1";20;Metro;BOBIGNY-PABLO PICASSO;8262452;7879929;4752569;5;T1;Pas de correspondance;Pas de correspondance;Pas de correspondance;Bobigny;;;;
48.895454673;2.4253268888;5;143;Metro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2957528;2951030;1726493;5;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pantin;;;;
48.8669831104;2.29005883493;6;249;Metro;BOISSIERE;2180159;1919511;925034;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;16;;;
48.7521857235;2.50455983832;RER A;37;RER;BOISSY-SAINT-LEGER;2810996;2837635;1791386;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Boissy-Saint-Leger;;;;
48.8808212614;2.37414715384;7bis;297;Metro;BOLIVAR;575968;546780;278933;7bis;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.8701642009;2.35049797186;"8;9";101;Metro;BONNE NOUVELLE;5025192;4583027;2254643;8;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;10;;;
48.8794817719;2.38911580738;7bis;291;Metro;BOTZARIS;1016993;993450;511339;7bis;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.8410940563;2.2879457665;8;141;Metro;BOUCICAUT;3403615;3152108;1734347;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8420053473;2.23888732579;10;121;Metro;BOULOGNE-JEAN JAURES;3963135;3785458;2016202;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Boulogne Billancourt;;;;
48.8407450152;2.2285369815;10;162;Metro;BOULOGNE-PONT DE SAINT-CLOUD;3358482;3145907;1588193;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Boulogne Billancourt;;;;
48.7803137964;2.31230771689;RER B;23;RER;BOURG-LA-REINE;4595817;4446499;2409369;RER B;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Bourg la Reine;;;;
48.8686959778;2.34072072367;3;183;Metro;BOURSE;3596746;3386481;1417882;3;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;2;;;
48.8561407093;2.37020933841;5;243;Metro;BREGUET-SABIN;2351237;1791352;1003059;5;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;11;;;
48.8905871866;2.32017475579;13;208;Metro;BROCHANT;3418061;2984525;1227003;13;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;17;;;
48.8449011387;2.52592254657;RER A;41;RER;BRY-SUR-MARNE;2304182;2450013;1458444;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Bry-sur-Marne;;;;
48.6962527469;2.16437824279;RER B;61;RER;BURES-SUR-YVETTE;726989;653313;333714;RER B;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Bures sur Yvette;;;;
48.8365364329;2.70898174226;RER A;33;RER;BUSSY-SAINT-GEORGES;3235459;3298143;1897477;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Bussy-Saint-Georges;;;;
48.8785141131;2.38161451194;7bis;300;Metro;BUTTES-CHAUMONT;560675;545750;242027;7bis;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.851812133;2.40102227052;9;234;Metro;BUZENVAL;2071421;1941769;1080500;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;20;;;
48.8758906819;2.34412603046;7;204;Metro;CADET;3338778;3042484;1240692;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;9;;;
48.8475070811;2.30296829919;6;167;Metro;CAMBRONNE;3286006;2524418;1567953;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8354953554;2.3588234891;5;282;Metro;CAMPO-FORMIO;1369978;1335450;664119;5;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;13;;;
48.8466568513;2.35162325638;10;280;Metro;CARDINAL LEMOINE;1753554;1663781;710141;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;5;;;
48.9195730741;2.34330593051;13;215;Metro;CARREFOUR PLEYEL;2657021;2473446;1205747;13;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Saint Denis;;;;
48.8404866526;2.35173948717;7;169;Metro;CENSIER-DAUBENTON;3514620;3385284;1557698;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;6;;;
48.8069850716;2.51030723712;RER A;27;RER;CHAMPIGNY;3597213;3588881;2209619;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Saint-Maur des Fosses;;;;
48.8676021452;2.31389412912;"1; 13";140;Metro;CHAMPS-ELYSEES-CLEMENCEAU;4113353;4006171;1735350;1;13;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;8;;;
48.8452047036;2.26644154308;10;296;Metro;CHARDON-LAGACHE;718908;692665;331901;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;16;;;
48.8215957673;2.41373751752;8;155;Metro;CHARENTON-ECOLES;3132036;2984929;1654160;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Charenton;;;;
48.8751498197;2.29590490608;"1; 2; 6";53;Metro;CHARLES DE GAULLE-ETOILE;8181646;7296559;3152200;1;2;6;Pas de correspondance;Pas de correspondance;Paris;8;;;
48.8742384767;2.29449059283;A;10;RER;CHARLES DE GAULLE-ETOILE-RER;9186375;9385991;4070214;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;17;;;
48.8465346367;2.28599922342;10;108;Metro;CHARLES MICHELS;4865336;4601730;2198392;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8545804991;2.38556348082;9;134;Metro;CHARONNE;4174673;3652338;1815517;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8444563946;2.44043997806;1;34;Metro;CHATEAU DE VINCENNES;5544176;6353285;3735738;1;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Vincennes;;;;
48.8724249145;2.35604490767;4;117;Metro;CHATEAU D'EAU;4439398;3878260;2069680;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;10;;;
48.8873749106;2.3496940822;4;19;Metro;CHATEAU ROUGE;7053570;7306788;4761367;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;18;;;
48.8785656258;2.36216007192;7;242;Metro;CHATEAU-LANDON;1779651;1759434;1009087;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;10;;;
48.8570599663;2.34771187993;"14; 11;7; 4";11;Metro;CHATELET;12505675;10766712;6030558;1;4;7;11;14;Paris;1;;;
