Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.539417232636299, 48.839140884170966]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8391408842,2.53941723264
"{""type"": ""Point"", ""coordinates"": [2.507319050675932, 48.909842136031656]}";Les Archers;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.909842136,2.50731905068
"{""type"": ""Point"", ""coordinates"": [2.383806879481313, 48.74668461717299]}";Rue des 15 Arpents - Phase 1 sud;231;bus Senia - Orly;23101;TCSP Senia - Orly - secteur Sénia;arrêt;2;21;;0;0;1;Sud;0;1;0;4;0;;1;48.7466846172,2.38380687948
"{""type"": ""Point"", ""coordinates"": [2.253265651462388, 48.78312891642051]}";Edouard Herriot;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7831289164,2.25326565146
"{""type"": ""Point"", ""coordinates"": [2.253374492116987, 48.786188369168464]}";Hôpital Béclère;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;1;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7861883692,2.25337449212
"{""type"": ""Point"", ""coordinates"": [2.446083643893429, 48.89924904191928]}";Ecole Hôtelière;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.8992490419,2.44608364389
"{""type"": ""Point"", ""coordinates"": [2.47207493561431, 48.904486782600856]}";Pont de Bondy;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9044867826,2.47207493561
"{""type"": ""Point"", ""coordinates"": [2.254174463626753, 48.76677097301018]}";Centre commercial;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.766770973,2.25417446363
"{""type"": ""Point"", ""coordinates"": [2.24950654588259, 48.774257567169506]}";Novéos;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7742575672,2.24950654588
"{""type"": ""Point"", ""coordinates"": [2.544563643486854, 48.61548368473375]}";Carré Trait d'Union;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;1;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.6154836847,2.54456364349
"{""type"": ""Point"", ""coordinates"": [2.534471062268046, 48.83784454728266]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8378445473,2.53447106227
"{""type"": ""Point"", ""coordinates"": [2.291497216450483, 48.76130600789474]}";Grenouillère;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7613060079,2.29149721645
"{""type"": ""Point"", ""coordinates"": [2.272513152586372, 48.763815942046705]}";Allende;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.763815942,2.27251315259
